profile_id,profile_type,bank_id,file_name,file_type,relative_path,upload_order,extraction_goal,expected_fields,document_quality,degradation_tags
user_001,user,bank_001,profile.json,json,users/user_001/profile.json,1,seed_profile,"identity,contact,login",clean,
user_001,user,bank_001,identity_card.pdf,pdf,users/user_001/identity_card.pdf,2,ocr_identity,"full_name,niu,date_of_birth,address",clean,
user_001,user,bank_001,proof_of_address.pdf,pdf,users/user_001/proof_of_address.pdf,3,address_validation,"address,city,region",clean,
user_001,user,bank_001,bank_statement.pdf,pdf,users/user_001/bank_statement.pdf,4,statement_parsing,"credits,debits,balance",dirty,"alt_headers,copy_stamp,layout_shift"
user_001,user,bank_001,income_expenses.xlsx,xlsx,users/user_001/income_expenses.xlsx,5,income_expense_excel,"income,expense,closing_balance",dirty,"preamble_rows,blank_rows,mixed_amount_style"
user_001,user,bank_001,ocr_scan.png,png,users/user_001/ocr_scan.png,6,ocr_image,"niu,address,phone",dirty,"blur,tilt,low_contrast,scanner_shadow,noise"
user_001,user,bank_001,asset_declaration.pdf,pdf,users/user_001/asset_declaration.pdf,7,asset_proof_pdf,"asset_type,estimated_value,ownership",clean,
user_001,user,bank_001,asset_inventory.xlsx,xlsx,users/user_001/asset_inventory.xlsx,8,asset_inventory_excel,"asset_type,estimated_value,proof_mode",clean,
user_001,user,bank_001,employment_certificate.pdf,pdf,users/user_001/employment_certificate.pdf,9,supporting_document,employment_certificate,clean,
user_002,user,bank_001,profile.json,json,users/user_002/profile.json,1,seed_profile,"identity,contact,login",clean,
user_002,user,bank_001,identity_card.pdf,pdf,users/user_002/identity_card.pdf,2,ocr_identity,"full_name,niu,date_of_birth,address",clean,
user_002,user,bank_001,proof_of_address.pdf,pdf,users/user_002/proof_of_address.pdf,3,address_validation,"address,city,region",clean,
user_002,user,bank_001,bank_statement.pdf,pdf,users/user_002/bank_statement.pdf,4,statement_parsing,"credits,debits,balance",dirty,"alt_headers,copy_stamp,layout_shift"
user_002,user,bank_001,income_expenses.xlsx,xlsx,users/user_002/income_expenses.xlsx,5,income_expense_excel,"income,expense,closing_balance",dirty,"preamble_rows,blank_rows,mixed_amount_style"
user_002,user,bank_001,ocr_scan.png,png,users/user_002/ocr_scan.png,6,ocr_image,"niu,address,phone",dirty,"blur,tilt,low_contrast,scanner_shadow,noise"
user_002,user,bank_001,asset_declaration.pdf,pdf,users/user_002/asset_declaration.pdf,7,asset_proof_pdf,"asset_type,estimated_value,ownership",clean,
user_002,user,bank_001,asset_inventory.xlsx,xlsx,users/user_002/asset_inventory.xlsx,8,asset_inventory_excel,"asset_type,estimated_value,proof_mode",clean,
user_003,user,bank_002,profile.json,json,users/user_003/profile.json,1,seed_profile,"identity,contact,login",clean,
user_003,user,bank_002,identity_card.pdf,pdf,users/user_003/identity_card.pdf,2,ocr_identity,"full_name,niu,date_of_birth,address",clean,
user_003,user,bank_002,proof_of_address.pdf,pdf,users/user_003/proof_of_address.pdf,3,address_validation,"address,city,region",clean,
user_003,user,bank_002,bank_statement.pdf,pdf,users/user_003/bank_statement.pdf,4,statement_parsing,"credits,debits,balance",clean,
user_003,user,bank_002,income_expenses.xlsx,xlsx,users/user_003/income_expenses.xlsx,5,income_expense_excel,"income,expense,closing_balance",clean,
user_003,user,bank_002,ocr_scan.png,png,users/user_003/ocr_scan.png,6,ocr_image,"niu,address,phone",clean,
user_003,user,bank_002,asset_declaration.pdf,pdf,users/user_003/asset_declaration.pdf,7,asset_proof_pdf,"asset_type,estimated_value,ownership",clean,
user_003,user,bank_002,asset_inventory.xlsx,xlsx,users/user_003/asset_inventory.xlsx,8,asset_inventory_excel,"asset_type,estimated_value,proof_mode",clean,
user_003,user,bank_002,employment_certificate.pdf,pdf,users/user_003/employment_certificate.pdf,9,supporting_document,employment_certificate,clean,
user_003,user,bank_002,budget_note.pdf,pdf,users/user_003/budget_note.pdf,10,supporting_document,budget_note,clean,
user_004,user,bank_001,profile.json,json,users/user_004/profile.json,1,seed_profile,"identity,contact,login",clean,
user_004,user,bank_001,identity_card.pdf,pdf,users/user_004/identity_card.pdf,2,ocr_identity,"full_name,niu,date_of_birth,address",clean,
user_004,user,bank_001,proof_of_address.pdf,pdf,users/user_004/proof_of_address.pdf,3,address_validation,"address,city,region",clean,
user_004,user,bank_001,bank_statement.pdf,pdf,users/user_004/bank_statement.pdf,4,statement_parsing,"credits,debits,balance",clean,
user_004,user,bank_001,income_expenses.xlsx,xlsx,users/user_004/income_expenses.xlsx,5,income_expense_excel,"income,expense,closing_balance",clean,
user_004,user,bank_001,ocr_scan.png,png,users/user_004/ocr_scan.png,6,ocr_image,"niu,address,phone",clean,
user_004,user,bank_001,asset_declaration.pdf,pdf,users/user_004/asset_declaration.pdf,7,asset_proof_pdf,"asset_type,estimated_value,ownership",clean,
user_004,user,bank_001,asset_inventory.xlsx,xlsx,users/user_004/asset_inventory.xlsx,8,asset_inventory_excel,"asset_type,estimated_value,proof_mode",clean,
user_004,user,bank_001,employment_certificate.pdf,pdf,users/user_004/employment_certificate.pdf,9,supporting_document,employment_certificate,clean,
user_004,user,bank_001,budget_note.pdf,pdf,users/user_004/budget_note.pdf,10,supporting_document,budget_note,clean,
user_005,user,bank_001,profile.json,json,users/user_005/profile.json,1,seed_profile,"identity,contact,login",clean,
user_005,user,bank_001,identity_card.pdf,pdf,users/user_005/identity_card.pdf,2,ocr_identity,"full_name,niu,date_of_birth,address",clean,
user_005,user,bank_001,proof_of_address.pdf,pdf,users/user_005/proof_of_address.pdf,3,address_validation,"address,city,region",clean,
user_005,user,bank_001,bank_statement.pdf,pdf,users/user_005/bank_statement.pdf,4,statement_parsing,"credits,debits,balance",dirty,"alt_headers,copy_stamp,layout_shift"
user_005,user,bank_001,income_expenses.xlsx,xlsx,users/user_005/income_expenses.xlsx,5,income_expense_excel,"income,expense,closing_balance",dirty,"preamble_rows,blank_rows,mixed_amount_style"
user_005,user,bank_001,ocr_scan.png,png,users/user_005/ocr_scan.png,6,ocr_image,"niu,address,phone",dirty,"blur,tilt,low_contrast,scanner_shadow,noise"
user_005,user,bank_001,asset_declaration.pdf,pdf,users/user_005/asset_declaration.pdf,7,asset_proof_pdf,"asset_type,estimated_value,ownership",clean,
user_005,user,bank_001,asset_inventory.xlsx,xlsx,users/user_005/asset_inventory.xlsx,8,asset_inventory_excel,"asset_type,estimated_value,proof_mode",clean,
user_005,user,bank_001,employment_certificate.pdf,pdf,users/user_005/employment_certificate.pdf,9,supporting_document,employment_certificate,clean,
user_005,user,bank_001,budget_note.pdf,pdf,users/user_005/budget_note.pdf,10,supporting_document,budget_note,clean,
user_006,user,bank_002,profile.json,json,users/user_006/profile.json,1,seed_profile,"identity,contact,login",clean,
user_006,user,bank_002,identity_card.pdf,pdf,users/user_006/identity_card.pdf,2,ocr_identity,"full_name,niu,date_of_birth,address",clean,
user_006,user,bank_002,proof_of_address.pdf,pdf,users/user_006/proof_of_address.pdf,3,address_validation,"address,city,region",clean,
user_006,user,bank_002,bank_statement.pdf,pdf,users/user_006/bank_statement.pdf,4,statement_parsing,"credits,debits,balance",clean,
user_006,user,bank_002,income_expenses.xlsx,xlsx,users/user_006/income_expenses.xlsx,5,income_expense_excel,"income,expense,closing_balance",clean,
user_006,user,bank_002,ocr_scan.png,png,users/user_006/ocr_scan.png,6,ocr_image,"niu,address,phone",clean,
user_006,user,bank_002,asset_declaration.pdf,pdf,users/user_006/asset_declaration.pdf,7,asset_proof_pdf,"asset_type,estimated_value,ownership",clean,
user_006,user,bank_002,asset_inventory.xlsx,xlsx,users/user_006/asset_inventory.xlsx,8,asset_inventory_excel,"asset_type,estimated_value,proof_mode",clean,
user_006,user,bank_002,employment_certificate.pdf,pdf,users/user_006/employment_certificate.pdf,9,supporting_document,employment_certificate,clean,
user_006,user,bank_002,budget_note.pdf,pdf,users/user_006/budget_note.pdf,10,supporting_document,budget_note,clean,
user_007,user,bank_001,profile.json,json,users/user_007/profile.json,1,seed_profile,"identity,contact,login",clean,
user_007,user,bank_001,identity_card.pdf,pdf,users/user_007/identity_card.pdf,2,ocr_identity,"full_name,niu,date_of_birth,address",clean,
user_007,user,bank_001,proof_of_address.pdf,pdf,users/user_007/proof_of_address.pdf,3,address_validation,"address,city,region",clean,
user_007,user,bank_001,bank_statement.pdf,pdf,users/user_007/bank_statement.pdf,4,statement_parsing,"credits,debits,balance",dirty,"alt_headers,copy_stamp,layout_shift"
user_007,user,bank_001,income_expenses.xlsx,xlsx,users/user_007/income_expenses.xlsx,5,income_expense_excel,"income,expense,closing_balance",dirty,"preamble_rows,blank_rows,mixed_amount_style"
user_007,user,bank_001,ocr_scan.png,png,users/user_007/ocr_scan.png,6,ocr_image,"niu,address,phone",dirty,"blur,tilt,low_contrast,scanner_shadow,noise"
user_007,user,bank_001,asset_declaration.pdf,pdf,users/user_007/asset_declaration.pdf,7,asset_proof_pdf,"asset_type,estimated_value,ownership",clean,
user_007,user,bank_001,asset_inventory.xlsx,xlsx,users/user_007/asset_inventory.xlsx,8,asset_inventory_excel,"asset_type,estimated_value,proof_mode",clean,
user_007,user,bank_001,employment_certificate.pdf,pdf,users/user_007/employment_certificate.pdf,9,supporting_document,employment_certificate,clean,
user_008,user,bank_003,profile.json,json,users/user_008/profile.json,1,seed_profile,"identity,contact,login",clean,
user_008,user,bank_003,identity_card.pdf,pdf,users/user_008/identity_card.pdf,2,ocr_identity,"full_name,niu,date_of_birth,address",clean,
user_008,user,bank_003,proof_of_address.pdf,pdf,users/user_008/proof_of_address.pdf,3,address_validation,"address,city,region",clean,
user_008,user,bank_003,bank_statement.pdf,pdf,users/user_008/bank_statement.pdf,4,statement_parsing,"credits,debits,balance",clean,
user_008,user,bank_003,income_expenses.xlsx,xlsx,users/user_008/income_expenses.xlsx,5,income_expense_excel,"income,expense,closing_balance",clean,
user_008,user,bank_003,ocr_scan.png,png,users/user_008/ocr_scan.png,6,ocr_image,"niu,address,phone",clean,
user_008,user,bank_003,asset_declaration.pdf,pdf,users/user_008/asset_declaration.pdf,7,asset_proof_pdf,"asset_type,estimated_value,ownership",clean,
user_008,user,bank_003,asset_inventory.xlsx,xlsx,users/user_008/asset_inventory.xlsx,8,asset_inventory_excel,"asset_type,estimated_value,proof_mode",clean,
user_008,user,bank_003,employment_certificate.pdf,pdf,users/user_008/employment_certificate.pdf,9,supporting_document,employment_certificate,clean,
user_008,user,bank_003,budget_note.pdf,pdf,users/user_008/budget_note.pdf,10,supporting_document,budget_note,clean,
user_009,user,bank_002,profile.json,json,users/user_009/profile.json,1,seed_profile,"identity,contact,login",clean,
user_009,user,bank_002,identity_card.pdf,pdf,users/user_009/identity_card.pdf,2,ocr_identity,"full_name,niu,date_of_birth,address",clean,
user_009,user,bank_002,proof_of_address.pdf,pdf,users/user_009/proof_of_address.pdf,3,address_validation,"address,city,region",clean,
user_009,user,bank_002,bank_statement.pdf,pdf,users/user_009/bank_statement.pdf,4,statement_parsing,"credits,debits,balance",dirty,"alt_headers,copy_stamp,layout_shift"
